Rename, Pupil_type, Pupil_type_bin,Activity_type,Nocturnal,Crepuscular,Diurnal,Nocturnal_prop, Pupil_type_revised, Pupil_type_revised_bin,Region,Ethiopian,Oriental,Palearctic,Neotropical,Nearctic,Habitat,Habitat_num,Desert,Savanna,Forest,Rainforest,Forest_Rainforest,Mountains,Low_elevation_m,High_elevation_m,Mating,Coat_pattern,Flecks,Uniform,Stripes,Rosettes,Blotches,SBlotch,Black_body_morethaneye with 0/1,Black_tail_morethaneye with 0/1,Black_body_morethaneye,Black_tail_morethaneye,Nose_color,Nose_black,Nose_pink,Length_low_cm,Length_high_cm,Length_avg_cm,Skull_Length_mm,Hybridization,Ancient Hybridization
Otocolobus_manul,Round,2,"Nocturnal, Crepuscular",1,1,0,2,Round,1,palearctic,0,0,1,0,0,desert/mountains,2,1,0,0,0,0,1,,4800,NA,Stripes,0,0,1,0,0,0,0,1,0,1,pink,0,1,46,65,55.5,,,
Panthera_leo_leo,Round,2,"Nocturnal, Crepuscular",1,1,0,2,Round,1,ethiopian,1,0,0,0,0,savanna/forest/mountains,3,0,1,1,0,1,1,,4240,polygynous,Uniform,0,1,0,0,0,0,0/1,0/1,1,1,black,1,0,136.9,219.7,178.3,302,"Panthera pardus, Panthera tigris, Panthera onca",Panthera uncia
Panthera_leo_melanochaita,Round,2,"Nocturnal, Crepuscular",1,1,0,2,Round,1,ethiopian,1,0,0,0,0,savanna/forest/mountains,3,0,1,1,0,1,1,,4240,polygynous,Uniform,0,1,0,0,0,0,0/1,0/1,1,1,black,1,0,,,,,,
Panthera_onca,Round,2,"Crepuscular, Nocturnal",1,1,0,2,Round,1,neotropical,0,0,0,1,0,forest/rainforest/swamp,3,0,0,1,1,1,0,10,2000,promiscuous,Rosettes,0,0,0,1,0,0,1,1,1,1,pink,0,1,150,180,165,224.5,"Panthera pardus, Panthera leo, Panthera tigris",
Panthera_pardus_fusca,Round,2,"Nocturnal, Diurnal",1,0,1,2,Round,1,oriental,0,1,0,0,0,desert/savana/forest/rainforest/mountains,5,1,0,1,1,1,1,,,promiscuous,Rosettes,0,0,0,1,0,0,1,1,1,1,pink,0,1,103,141,122,,,
Panthera_pardus_orientalis,Round,2,"Diurnal, Crepuscular",0,1,1,0,Round,1,oriental,0,1,0,0,0,desert/savana/forest/rainforest/mountains,5,1,0,1,1,1,1,,,promiscuous,Rosettes,0,0,0,1,0,0,1,1,1,1,black/pink,1,1,,,,,,
Panthera_pardus_tulliana,Round,2,Nocturnal,1,0,0,3,Round,1,palearctic,0,0,1,0,0,desert/savana/forest/rainforest/mountains,5,1,0,1,1,1,1,,,promiscuous,Rosettes,0,0,0,1,0,0,1,1,1,1,black/pink,1,1,,,,,,
Panthera_tigris_sondaica,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,forest/mountains,2,0,0,1,0,1,1,0,3200,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,248,,248,,,
Panthera_tigris_tigris_altaica,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,taiga/forest,2,0,0,1,0,1,0,,,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,240,330,285,,,
Panthera_tigris_tigris_amoyensis,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,forest/mountains,2,0,0,1,0,1,1,,,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,220,265,242.5,,,
Panthera_tigris_tigris_corbetti,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,forest/rainforest/mountains,3,0,0,1,1,1,1,,,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,230,285,257.5,,,
Panthera_tigris_tigris_jacksoni,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,forest/rainforest/mountains,3,0,0,1,1,1,1,,,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,,,,,,
Panthera_tigris_tigris_tigris,Round,2,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Round,1,oriental,0,1,0,0,0,savanna/forest/rainforest/mountains,4,0,1,1,1,1,1,,,promiscuous,Stripes,0,0,1,0,0,0,1,1,1,1,pink,0,1,240,310,275,273.7,"Panthera pardus, Panthera leo, Panthera onca",
Panthera_uncia,Round,2,Crepuscular,0,1,0,0,Round,1,palearctic,0,0,1,0,0,savanna/forest/mountains,3,0,1,1,0,1,1,900,5500,polygynous,Rosettes,0,0,0,1,0,0,1,1,1,1,pink,0,1,86,125,105.5,156.85,,Panthera leo
Pardofelis_marmorata,Vertical,0,"Nocturnal, Diurnal, Crepuscular",1,1,1,1,Vertical,0,oriental,0,1,0,0,0,forest/rainforest,2,0,0,1,1,1,0,0,3000,NA,Blotches,0,0,0,0,1,0,1,1,1,1,pink,0,1,45,61,53,89.8,,
