Rename,brown_pres,hazgre_pres,yelbei_pres,grey_pres,blue_pres
Panthera_tigris_tigris_corbetti,0,0,1,1,0
Panthera_tigris_tigris_tigris,0,0,1,1,0
Panthera_tigris_tigris_altaica,0,0,1,1,0
Panthera_tigris_sondaica,0,1,1,1,0
Panthera_tigris_tigris_amoyensis,0,0,1,1,0
Panthera_tigris_tigris_jacksoni,0,0,1,1,1
Panthera_uncia,0,1,0,1,1
Panthera_pardus_orientalis,0,1,1,1,1
Panthera_pardus_tulliana,0,0,0,1,0
Panthera_pardus_fusca,0,0,0,1,1
Panthera_leo_melanochaita,0,0,1,0,0
Panthera_leo_persica,1,0,1,1,0
Panthera_leo_leo,1,0,1,0,0
Neofelis_nebulosa,1,0,0,1,0
Neofelis_diardi,1,0,0,1,0
Felis_lybica_cafra,1,1,1,1,0
Felis_lybica_ornata,0,1,0,1,0
Felis_bieti,0,0,0,1,1
Felis_silvestris,0,1,0,1,1
Felis_lybica_lybica,0,1,1,1,0
Felis_margarita,0,1,0,1,0
Felis_nigripes,0,1,1,0,0
Felis_chaus_chaus,0,1,0,1,0
Felis_chaus_affinis,0,1,0,1,0
Prionailurus_planiceps,1,0,0,1,0
Prionailurus_bengalensis_bengalensis,1,0,1,1,0
Prionailurus_bengalensis_iriomotensis,1,0,1,0,0
Prionailurus_viverrinus,0,1,0,1,0
Prionailurus_rubiginosus,1,1,1,1,0
Otocolobus_manul,0,1,1,1,0
Herpailurus_yagouaroundi,1,0,0,1,0
Puma_concolor,1,0,1,1,0
Acinonyx_jubatus,1,0,1,0,0
Lynx_pardinus,1,1,1,1,0
Lynx_lynx,1,1,1,1,0
Lynx_canadensis,1,0,1,0,0
Lynx_rufus,1,0,0,1,1
Leopardus_jacobita,1,1,0,0,0
Leopardus_guigna,1,0,0,0,0
Leopardus_geoffroyi,1,1,0,1,0
Leopardus_tigrinus,1,0,0,0,0
Leopardus_wiedii,1,0,0,0,0
Leopardus_pardalis_pardalis,1,1,0,1,0
Leopardus_colocola_pajeros,1,0,0,1,0
Leopardus_guttulus,1,0,0,0,0
Leptailurus_serval,1,0,0,1,0
Caracal_aurata,0,0,0,1,0
Caracal_caracal,1,1,0,1,0
Pardofelis_marmorata,1,0,0,0,0
Catopuma_temminckii,1,0,0,1,0
Catopuma_badia,0,0,1,0,0
Prionailurus_javanensis,1,0,0,0,0
Panthera_onca,0,1,1,1,0
Prionodon_linsang,1,0,0,0,0
